Engine Capacity,No. of Cylinders,Max. Power Output,Revs./Min.,Top Speed
1962,4,121,5300,184
2144,5,136,5700,190
1588,4,85,5600,160
2315,6,143,6000,191
3210,6,197,5500,205
5657,6,170,3800,205
1585,4,75,5200,160
2993,6,138,5000,195
1297,4,66,5600,158
1999,6,90,5000,158
2301,4,89,4800,145
1588,4,110,6100,182
1995,4,119,5500,178
2484,4,140,5400,195
1272,4,60,5500,140
2746,6,156,5500,190
4520,8,217,5000,225
2746,6,177,6000,200
5737,8,170,3800,175
2490,4,115,5200,175
1584,4,75,5200,157
1584,4,75,5200,157
2784,4,140,5400,180
1218,4,57,6000,145
2664,6,125,5000,180
6750,8,260,4500,190
1985,4,100,5200,170
1046,4,45,4800,130
1588,4,90,6000,170
2664,6,140,6000,175
1272,4,60,5600,152
3000,6,180,5500,195
